line,loc,DTT,PH,EW
MG_1119,HN,57,181,51.4
MG_1119,JL,77,191,114.4
MG_1119,LN,69,207.4,128
MG_112,BJ,63,230,106.67
MG_112,HeB,61,211.2,94.88
MG_112,HN,59,169.75,89
MG_112,JL,78,207,125.8
MG_112,LN,71,207.66,116
MG_1120,BJ,67,263,80
MG_1120,HeB,56,256.8,168.2
MG_1120,HN,60,255,121.67
MG_1120,JL,85,285,114.8
MG_1120,LN,73,295.5,176.25
MG_1121,BJ,68,221,62
MG_1121,HeB,58,205.8,93.3
MG_1121,HN,71,188.75,27.8
MG_1121,JL,87,237.5,104.4
MG_1121,LN,76,216,72
MG_1123,BJ,72,237,70
MG_1123,HeB,62,223,71.2
MG_1123,HN,64,199.2,48
MG_1123,JL,82,221,72.2
MG_1123,LN,77,233.45,120
MG_1124,BJ,66,268,76.67
MG_1124,HeB,62,258.33,85
MG_1124,HN,62,213,73.6
MG_1124,JL,86,227,235.25
MG_1124,LN,78,228.88,115
MG_1125,BJ,57,159.4,77.5
MG_1125,HeB,53,188.6,84.67
MG_1125,HN,57,179.6,71.4
MG_1125,JL,74,170.5,108.2
MG_1125,LN,70,193.5,146
MG_1126,BJ,66,256.5,116.67
MG_1126,HeB,57,232.5,95.4
MG_1126,HN,58,221.6,59.2
MG_1126,JL,79,256.25,115.6
MG_1126,LN,73,260,160
MG_1127,BJ,65,255,30
MG_1127,HeB,60,215.8,71.5
MG_1127,HN,59,217.5,33.8
MG_1127,JL,78,233.2,171
MG_1127,LN,71,244.8,146.67
MG_1128,BJ,64,234.6,72
MG_1128,HeB,62,215.5,64
MG_1128,HN,58,224.8,91.8
MG_1128,JL,76,230.4,92.6
MG_1128,LN,72,232,102.5
MG_1129,BJ,64,151.4,36.67
MG_1129,HeB,55,162,91.9
MG_1129,HN,60,145,81.8
MG_1129,JL,78,165,75.4
MG_1129,LN,67,161,83.75
MG_113,BJ,64,226.25,88
MG_113,HeB,57,203.2,86.25
MG_113,HN,58,174.5,71.6
MG_113,JL,84,201.25,70.25
MG_113,LN,72,223.92,125
MG_1130,BJ,65,216.6,100
MG_1130,HeB,60,188.5,86.5
MG_1130,HN,62,183.25,83.4
MG_1130,JL,83,231.25,165.6
MG_1130,LN,78,209.4,95
MG_1131,BJ,67,241.25,112
MG_1131,HeB,62,196.4,113.5
MG_1131,HN,63,197.6,94.4
MG_1131,JL,85,217,172.8
MG_1131,LN,78,217.5,137
MG_1132,BJ,65,231.25,56
MG_1132,HeB,57,202.2,91.1
MG_1132,HN,60,214.1,78.2
MG_1132,JL,83,250,121
MG_1132,LN,73,240.75,104
MG_1133,BJ,69,215,20
MG_1133,HeB,63,209.2,135.75
MG_1133,HN,64,211.5,51.67
MG_1133,JL,85,229.4,113.6
MG_1133,LN,77,193.23,87.5
MG_1134,BJ,60,216.4,10
MG_1134,HeB,57,185.6,NA
MG_1134,HN,56,187,23.8
MG_1134,JL,80,214,104
MG_1134,LN,72,227.1,53.33
MG_1135,BJ,68,185.8,20
MG_1135,HeB,62,153.6,113.67
MG_1135,HN,64,182,59.4
MG_1135,JL,81,198,87.6
MG_1135,LN,77,210.5,NA
MG_1136,BJ,68,248.5,105
MG_1136,HeB,62,209.25,80
MG_1136,HN,63,201.8,83.2
MG_1136,JL,87,223.25,141.2
MG_1136,LN,73,223,152
MG_1137,BJ,64,222.75,70
MG_1137,HeB,60,230.5,122
MG_1137,HN,64,199,81.4
MG_1137,JL,85,202,85.8
MG_1137,LN,72,228,124
MG_1138,BJ,69,227.6,76
MG_1138,HeB,64,163,71.25
MG_1138,HN,60,204.2,89.2
MG_1138,JL,86,222,93.8
MG_1138,LN,76,220.38,122.5
MG_1139,BJ,69,252,128
MG_1139,HeB,62,232,119.4
MG_1139,HN,64,206,100.2
MG_1139,JL,87,263.6,150.6
MG_1139,LN,76,276,137
MG_114,BJ,66,210.4,75
MG_114,HeB,61,196,108
MG_114,HN,59,191.6,86.4
MG_114,JL,85,215.5,82.6
MG_114,LN,72,199.8,107
